Timestamp,Time(s),Altitude(m),Delta(m),State
22:04:42,0.0,0.697,-0.003,HOLD_STABLE
22:04:43,0.5,0.715,0.015,HOLD_STABLE
22:04:43,1.0,0.715,0.015,HOLD_STABLE
22:04:44,1.5,0.713,0.013,HOLD_STABLE
22:04:44,2.0,0.717,0.017,HOLD_STABLE
22:04:45,2.5,0.698,-0.002,HOLD_STABLE
22:04:45,3.1,0.706,0.006,HOLD_STABLE
22:04:46,3.6,0.698,-0.002,HOLD_STABLE
22:04:46,4.1,0.718,0.018,HOLD_STABLE
22:04:47,4.6,0.708,0.008,HOLD_STABLE
22:04:47,5.1,0.719,0.019,HOLD_STABLE
22:04:48,5.6,0.705,0.005,HOLD_STABLE
22:04:48,6.1,0.717,0.017,HOLD_STABLE
22:04:49,6.6,0.704,0.004,HOLD_STABLE
22:04:49,7.1,0.691,-0.009,HOLD_STABLE
22:04:50,7.7,0.678,-0.022,HOLD_STABLE
22:04:50,8.2,0.68,-0.02,HOLD_STABLE
22:04:51,8.7,0.673,-0.027,HOLD_STABLE
22:04:51,9.2,0.689,-0.011,HOLD_STABLE
22:04:52,9.7,0.701,0.001,HOLD_STABLE
22:04:52,10.2,0.709,0.009,HOLD_STABLE
22:04:53,10.7,0.717,0.017,HOLD_STABLE
22:04:54,11.2,0.719,0.019,HOLD_STABLE
22:04:54,11.7,0.71,0.01,HOLD_STABLE
22:04:55,12.3,0.708,0.008,HOLD_STABLE
22:04:55,12.8,0.703,0.003,HOLD_STABLE
22:04:56,13.3,0.722,0.022,HOLD_STABLE
22:04:56,13.8,0.726,0.026,HOLD_STABLE
22:04:57,14.3,0.738,0.038,HOLD_STABLE
22:04:57,14.8,0.757,0.057,ADJUST_DOWN
22:04:58,15.3,0.748,0.048,HOLD_STABLE
22:04:58,15.8,0.731,0.031,HOLD_STABLE
22:04:59,16.3,0.744,0.044,HOLD_STABLE
22:04:59,16.9,0.727,0.027,HOLD_STABLE
22:05:00,17.4,0.741,0.041,HOLD_STABLE
22:05:00,17.9,0.755,0.055,ADJUST_DOWN
22:05:01,18.4,0.756,0.056,ADJUST_DOWN
22:05:01,18.9,0.762,0.062,ADJUST_DOWN
22:05:02,19.4,0.753,0.053,ADJUST_DOWN
22:05:02,19.9,0.747,0.047,HOLD_STABLE
22:05:03,20.4,0.753,0.053,ADJUST_DOWN
22:05:03,20.9,0.772,0.072,ADJUST_DOWN
22:05:04,21.4,0.762,0.062,ADJUST_DOWN
22:05:04,21.9,0.743,0.043,HOLD_STABLE
22:05:05,22.4,0.725,0.025,HOLD_STABLE
22:05:05,23.0,0.727,0.027,HOLD_STABLE
22:05:06,23.5,0.721,0.021,HOLD_STABLE
22:05:06,24.0,0.712,0.012,HOLD_STABLE
22:05:07,24.5,0.704,0.004,HOLD_STABLE
22:05:07,25.0,0.694,-0.006,HOLD_STABLE
22:05:08,25.5,0.685,-0.015,HOLD_STABLE
22:05:08,26.0,0.692,-0.008,HOLD_STABLE
22:05:09,26.5,0.704,0.004,HOLD_STABLE
22:05:09,27.0,0.695,-0.005,HOLD_STABLE
22:05:10,27.5,0.696,-0.004,HOLD_STABLE
22:05:10,28.0,0.703,0.003,HOLD_STABLE
22:05:11,28.5,0.705,0.005,HOLD_STABLE
22:05:11,29.0,0.691,-0.009,HOLD_STABLE
22:05:12,29.5,0.71,0.01,HOLD_STABLE
22:05:12,30.0,0.724,0.024,HOLD_STABLE
