Timestamp,Time(s),Altitude(m),Delta(m),State
15:48:29,0.0,0.715,0.015,HOLD_STABLE
15:48:29,0.5,0.706,0.006,HOLD_STABLE
15:48:30,1.0,0.711,0.011,HOLD_STABLE
15:48:30,1.5,0.728,0.028,HOLD_STABLE
15:48:31,2.0,0.744,0.044,HOLD_STABLE
15:48:31,2.5,0.738,0.038,HOLD_STABLE
15:48:32,3.1,0.746,0.046,HOLD_STABLE
15:48:32,3.6,0.757,0.057,ADJUST_DOWN
15:48:33,4.1,0.773,0.073,ADJUST_DOWN
15:48:33,4.6,0.767,0.067,ADJUST_DOWN
15:48:34,5.1,0.747,0.047,HOLD_STABLE
15:48:34,5.6,0.751,0.051,ADJUST_DOWN
15:48:35,6.1,0.757,0.057,ADJUST_DOWN
15:48:35,6.6,0.753,0.053,ADJUST_DOWN
15:48:36,7.1,0.748,0.048,HOLD_STABLE
15:48:36,7.6,0.737,0.037,HOLD_STABLE
15:48:37,8.2,0.884,0.184,ALERT
15:48:37,8.7,0.87,0.17,ALERT
15:48:38,9.2,0.867,0.167,ALERT
15:48:38,9.7,0.878,0.178,ALERT
15:48:39,10.2,0.859,0.159,ALERT
15:48:39,10.7,0.85,0.15,ALERT
15:48:40,11.2,0.863,0.163,ALERT
15:48:40,11.7,0.857,0.157,ALERT
15:48:41,12.2,0.863,0.163,ALERT
15:48:41,12.8,0.843,0.143,ALERT
15:48:42,13.3,0.857,0.157,ALERT
15:48:42,13.8,0.865,0.165,ALERT
15:48:43,14.3,0.853,0.153,ALERT
15:48:43,14.8,0.865,0.165,ALERT
15:48:44,15.3,0.871,0.171,ALERT
15:48:44,15.8,0.884,0.184,ALERT
15:48:45,16.3,0.89,0.19,ALERT
15:48:45,16.8,0.905,0.205,ALERT
15:48:46,17.4,0.904,0.204,ALERT
15:48:46,17.9,0.89,0.19,ALERT
15:48:47,18.4,0.883,0.183,ALERT
15:48:47,18.9,0.885,0.185,ALERT
15:48:48,19.4,0.886,0.186,ALERT
15:48:48,19.9,0.87,0.17,ALERT
15:48:49,20.4,1.035,0.335,ALERT
15:48:50,20.9,1.039,0.339,ALERT
15:48:50,21.5,1.045,0.345,ALERT
15:48:51,22.0,1.059,0.359,ALERT
15:48:51,22.5,1.055,0.355,ALERT
15:48:52,23.0,1.048,0.348,ALERT
15:48:52,23.5,1.195,0.495,ALERT
15:48:53,24.0,1.206,0.506,ALERT
15:48:53,24.5,1.2,0.5,ALERT
15:48:54,25.0,1.181,0.481,ALERT
15:48:54,25.5,1.201,0.501,ALERT
15:48:55,26.0,1.22,0.52,ALERT
15:48:55,26.6,1.206,0.506,ALERT
15:48:56,27.1,1.201,0.501,ALERT
15:48:56,27.6,1.22,0.52,ALERT
15:48:57,28.1,1.213,0.513,ALERT
15:48:57,28.6,1.233,0.533,ALERT
15:48:58,29.1,1.239,0.539,ALERT
15:48:58,29.6,1.231,0.531,ALERT
15:48:59,30.1,1.215,0.515,ALERT
